Chromosome	Start	Stop	Strand	Gene Symbol	AKO5	AKO6	AKO7	AKO8	Ako_Lx1	Ako_Lx2	Ako_Lx3	WT6	wt_Lx1	WT7	WT5	Ako_Lx4	wt_Lx3	WT8	wt_Lx2	wt_Lx4
11	51685385	51688635	-	0610009B22Rik	234	250	251	212	211	197	256	247	202	266	344	198	209	279	232	234
2	26445924	26459382	+	0610009E02Rik	11.0283	26.3398	36.1927	26.8551	73.8579	8.53444	75.1014	3.28361	52.9766	25.0868	17.0293	25.6356	34.3545	57.3296	30.4191	13.9854
11	120348678	120351191	+	0610009L18Rik	54	68	65	93	39	74	80	55	72	78	74	82	46	101	66	81
11	23564949	23633632	-	0610010F05Rik	227	172	138	168	182	204	177	177	220	187	185	227	267	134	212	209
11	70235204	70237915	-	0610010K14Rik	156	183	171	176	177	181	164	175	203	181	143	221	267	192	253	199
16	31947050	31948506	-	0610012G03Rik	1456	1364	1440	1380	1324	1241	1298	1200	1217	1199	1110	1344	1328	1548	1292	1305
6	72347317	72353161	+	0610030E20Rik	249	229	199	226	279	313	311	216	338	213	184	270	470	248	352	382
5	143329308	143332705	+	0610040B10Rik	24	18	21	39	25	22	9	18	25	32	37	17	17	30	18	29
5	63812495	63899620	+	0610040J01Rik	51	47	37	59	40	60	59	61	31	31	59	40	30	52	58	40
18	11042037	11052568	-	1010001N08Rik	78	54	75	36	107	99	71	35	69	49	62	67	82	51	68	78
3	138062242	138081500	+	1110002E22Rik	1642.65	1515.75	1152.63	1420.85	2812.32	2586.51	1934.04	1440.59	2385.73	1441.4	1214.57	2084.52	2272.69	1397.62	2021.07	1906.26
12	3403883	3426748	-	1110002L01Rik	86.4604	85.7774	57.6389	64.6032	176.211	197.753	101.578	59.2254	134.343	96.2728	54.7323	101.255	187.39	69.6705	87.2725	92.9967
7	116093380	116105211	+	1110004F10Rik	659	619	615	566	816	757	696	523	890	559	530	787	1121	606	721	849
2	32379101	32381916	-	1110008P14Rik	247	269	257	267	347	294	253	227	299	214	225	302	456	329	305	299
X	70385913	70389417	+	1110012L19Rik	126	157	137	144	111	114	126	93	137	127	139	121	173	143	157	183
6	13871569	13896422	+	1110019D14Rik	44	34	63	39	36	50	50	38	53	19	49	46	44	47	50	37
9	50761374	50768185	-	1110032A03Rik	157	137	125	127	145	175	148	153	153	127	166	150	224	148	141	211
17	34950236	34952472	-	1110038B12Rik	18	6	9	7	30	38	15	11	49	15	17	28	82	32	19	23
15	76948261	76950980	+	1110038F14Rik	134	141	119	200	180	152	184	157	251	147	119	212	315	192	183	218
2	91273240	91444715	-	1110051M20Rik	141.626	117.62	111.728	148.138	191.227	205.124	156.257	108.021	226.944	124.119	107.028	175.689	303.255	137.662	239.296	228.916
19	21597313	21652792	-	1110059E24Rik	130	144	105	112	158	167	165	152	235	175	156	199	280	166	199	217
9	122945089	122951001	-	1110059G10Rik	149	135	156	124	160	146	195	107	211	185	166	175	174	113	143	164
4	124849485	124850731	-	1110065P20Rik	174.327	157.403	113.223	163.582	210.789	182.278	180.756	154.984	260.931	142.309	172.155	221.471	302.473	176.309	182.945	266.463
10	82619851	82623229	-	1190007I07Rik	156	163	199	173	154	117	156	187	154	183	199	189	122	288	170	171
16	21794347	21809040	+	1300002E11Rik	89	61	51	52	81	93	75	76	101	87	70	99	104	83	93	93
3	88805289	88832548	-	1500004A13Rik	55.2016	24.196	31.1456	44.2038	70.8903	87.2844	70.3185	44.1082	93.8075	29.8476	20.1228	79.4957	139.097	56.0713	79.3823	103.986
10	83722865	83762763	+	1500009L16Rik	17	32	44	27	39	42	43	16	44	32	16	47	54	34	22	32
5	114808196	114813977	-	1500011B03Rik	17	24	12	19	20	21	41	16	41	12	17	47	61	37	22	54
18	61726390	61728254	+	1500015A07Rik	14	17	23	27	28	34	43	30	28	28	15	49	59	33	25	33
10	80172944	80175120	+	1600002K03Rik	66	39	57	51	48	48	69	30	65	33	34	48	141	40	51	41
17	14943184	14945940	+	1600012H06Rik	281	251	247	220	314	340.001	332.001	236	365.021	267.567	258.559	380.007	717	199.135	409.001	501.001
7	38183217	38197566	+	1600014C10Rik	698.997	728	617.997	789.001	716	769.999	757.002	683	746.004	599.002	663.001	757.001	841.004	802.994	718.996	791.003
16	33379854	33380737	-	1700007L15Rik	13	19	13	7	28	20	14	16	36	38	10	39	32	34	19	26
7	127510438	127512870	-	1700008J07Rik	29.4567	30.3493	13.559	35.5565	37.4822	42.7342	37.731	37.3821	52.8655	35.7896	26.2287	47.6279	44.2678	38.3312	25.3386	35.1919
9	57252322	57262600	-	1700017B05Rik	112	109	116	117	217	221	167	91	314	78	108	269	569	122	256	218
19	29047483	29048730	+	1700018L02Rik	33.0594	19.9387	24.2588	24.9829	27.2004	13.5654	18.2646	20.4642	18.4733	20.9781	21.9691	14.6248	13.5032	20.8604	6.19221	17.6589
1	52922324	52992658	-	1700019D03Rik	44	42	28	39	35	17	21	28	57	37	34	55	32	28	38	73
10	43525119	43541019	-	1700021F05Rik	681	682	616	676	637	566	637	540	445	609	631	498	408	772	493	506
1	151884524	152090321	-	1700025G04Rik	579	601	448	507	1373	1446	834	546	878	510	513	979	1163	590	790	918
8	45953602	45975253	-	1700029J07Rik	25	33	21	23	21	21	30	19	27	27	17	42	35	32	36	39
8	72443880	72460542	+	1700030K09Rik	98	67	60	68	74	81	81	47	56	59	50	92	103	66	89	81
16	3905798	3908690	-	1700037C18Rik	24	14	17	18	38.9112	32	28	35	38	17	13	28.7723	34.8013	22.928	17.7681	36
2	131146315	131160082	-	1700037H04Rik	80	97	109	93	182	138	97	77	234	82	77	162	309	93	135	177
11	105179021	105181434	-	1700052K11Rik	47	45.6185	48	50.9939	75	76	62	59	80	50	31	65.5386	102	61.9026	87.6147	73
1	57377620	57385423	+	1700066M21Rik	57	44	61	35	65	93	54	52	91	35	54	74	128	39	88	86
15	79134655	79141252	-	1700088E04Rik	11.6493	20.3183	8.87216	9.46633	22.8168	20.3052	17.7493	12.4385	22.4424	14.8316	17.4874	12.1693	16.0088	15.8899	14.2672	20.35
3	90062808	90068348	+	1700094D03Rik	40	34	35	32	36	54	57	37	56	33	36	45	48	50	44	64
5	25530018	25531467	+	1700096K18Rik	53	22	47	37	35	37	34	51	42	31	46	48	26	41	41	43
4	11966574	11994296	+	1700123M08Rik	43	33	24	27	21	24	21	12	15	22	29	24	22	33	27	34
14	54686171	54690743	+	1700123O20Rik	143.444	132.987	155.095	132.141	176.602	155.542	163.327	117.196	189.974	106.737	163.264	172.858	336.429	165.306	203.273	240.63
19	8888883	8890760	+	1810009A15Rik	145	145	165	151	201	191	161	111	243	157	137	173	354	175	221	191
11	107025869	107030443	+	1810010H24Rik	15	21	19	14	13	19	20	24	34	30	23	19	28	22	28	68
16	8830100	8858925	+	1810013L24Rik	979	944	762	757	779	718	713	780	880	739	760	796	913	794	822	900
10	86685527	86689955	+	1810014B01Rik	139	159	145	137	90	96	124	172	88	105	154	105	86	169	141	140
7	73539798	73558396	-	1810026B05Rik	196.941	171.164	166.78	165.299	233.268	228.906	227.078	150.853	292.811	185.287	193.38	204.095	269.803	159.331	212.849	256.934
X	12654881	12673640	-	1810030O07Rik	335	309	297	304	310	312	378	330	386	310	244	346	538	337	348	414
13	64248700	64268146	+	1810034E14Rik	74	89	78	85	104	142	67	70	149	95	75	102	127	111	131	98
3	122924397	122926195	+	1810037I17Rik	459	472	434	416	578	581	477	402	606	456	456	593	805	690	505	565
6	91440987	91441756	+	1810044D09Rik	27	34	55	41	9	22	12	25	32	33	28	24	22	21	36	40
19	3708293	3717883	+	1810055G02Rik	97	89	76	91	154	213	131	61	223	76	57	184	368.001	80	136	170
6	35252699	35262060	+	1810058I24Rik	969.999	968	1197	1020	832	1041.01	1005	845	987.997	1058.01	882.996	1052	1084	1173.01	1066.01	1117.99
9	124291804	124312695	-	2010315B03Rik	110	113	91.0001	112	171	151	174	142	193	131	128	173	239	53	217	233
8	70776862	70777607	+	2010320M18Rik	115	123	112	128	117	97	105	124	124	122	100	133	108	152	106	128
13	58380046	58385226	-	2210016F16Rik	371	402	429	420	433	453	426	331	487	370	352	427	647	438	424	478
5	114942202	114948541	+	2210016L21Rik	194	234	224	242	283	250	228	202	284	191	160	334	409	246	291	319
11	58608206	58613493	-	2210407C18Rik	37	35	75	29	66	143	285	35	218	50	49	216	93	62	135	228
6	31220351	31337395	+	2210408F21Rik	121	120	152	133	91	117	121	116	123	133	107	144	75	146	100	121
13	77135536	77613680	+	2210408I21Rik	44	39	42	36	35	51	34	32	40	33	37	36	63	27	31	52
2	176226565	176927814	+	2210418O10Rik	70.3336	66.8227	64.3405	58.3344	81.3254	94.2537	59.3414	68.8509	90.7438	45.4014	69.8802	82.7988	124.192	53.3543	105.7	111.677
9	63394447	63399245	-	2300009A05Rik	153	127	150	142	130	129	133	127	157	141	142	109	97	139	140	132
6	129232623	129238483	-	2310001H17Rik	24	28	30	32	9	15	20	23	20	28	26	25	22	24	21	11
4	73939371	73950847	-	2310002L09Rik	779	839.998	605	821.002	766	734	641.999	813	433	884	1090	542	166	553	660.001	557
9	73039718	73042783	+	2310009A05Rik	99	87	86	104	98	98	70	72	111	101	92	107	144	107	100	110
1	138851979	138856855	-	2310009B15Rik	34	34	24	55	51	27	42	51	61	47	28	48	53	54	37	54
10	80318255	80320549	-	2310011J03Rik	373	374	310	349	409	457	419	319	563	302	323	449	622	418	392	506
12	80120546	80132845	-	2310015A10Rik	330	337	225	323	371	357	421	332	443	248	221	358	421	333	402	510
16	13514131	13521108	-	2310015D24Rik	22	33	34	30	9	28	48	30	48	38	43	46	18	60	52	77
7	27553290	27582099	+	2310022A10Rik	645.999	644	564.001	688.998	792	763	630	539	725.002	561.998	493.001	822	799	697.003	684	700
8	124635756	124663370	-	2310022B05Rik	1075	1025	883	1041	1793	1837	1623	983	1752	917	913	1977	2083	1248	1323	1627
9	50739691	50746528	-	2310030G06Rik	37	28	38	52	65	74	46	41	76	47	40	63	112	44	96	82
11	59208361	59210735	+	2310033P09Rik	97	135	142	128	164	159	155	135	201	117	94	148	201	150	155	192
17	46772635	46773408	+	2310039H08Rik	181	145	198	142	203	174	240	155	232	145	162	250	310	222	174	225
10	95336276	95363217	+	2310039L15Rik	22	32	27	34	16	11	43	32	11	29	26	39	5	40	18	16
6	86483376	86488228	-	2310040G24Rik	144	134	132	117	68	85	127	124	86	169	170	130	55	186	144	99
7	131341611	131362727	-	2310057M21Rik	108	136	117	150	198	186	186	94	178	106	106	169	222	141	159	145
17	35892677	35897379	-	2310061I04Rik	821	876	786	902	784	793	816	740	746	631	641	791	573	983	736	678
7	44246722	44252320	+	2410002F23Rik	169	178	206	192	270	297	265	186	416	175	215	366	566	239	314	383
3	145938014	145944830	+	2410004B18Rik	234	270.001	236	247	249	226	212	228	218	244	269	208	243	316	248	226
11	62602877	62604807	+	2410006H16Rik	53	47	55	52	72	75	75	56	102	51	61	94	265	75	69	118
14	56811989	56813900	+	2410022M11Rik	80	57	59	56	75	87	84	56	59	45	63	91	52	77	84	85
5	118245227	118263115	+	2410131K14Rik	167	198	127	167	233	281	212	151	206	145	149	219	208	167	236	182
8	57487963	57510263	+	2500002B13Rik	36	30	35	42	37	37	28	47	28	30	32	20	31	49	28	21
2	153341157	153345811	-	2500004C02Rik	36	31	32	24	26	22	30	36	50	22	36	42	61	33	36	62
16	18836580	18840114	+	2510002D24Rik	199	192	165	197	251	188	197	182	232	188	185	207	175	205	194	242
16	21649045	21694666	-	2510009E07Rik	360	358	339	329	517	649	475	323	647	313	351	552	869	351	508	619
4	147940895	147947315	+	2510039O18Rik	627	728	541	638	819	754	747	585	975	566	460	863	1105	842	812	835
6	13867735	13871519	-	2610001J05Rik	410	446	367	372	566	504	484	381	561	453	464	510	720	402	452	549
X	107782752	107816335	-	2610002M06Rik	171	172	155	177	168	196	173	147	242	171	196	198	319	151	190	277
8	20385782	20424815	-	2610005L07Rik	154.888	168.953	105.458	123.811	201.338	198.25	151.499	109.103	160.035	120.708	141.246	174.693	311.161	124.617	212.168	195.054
10	79064374	79097601	-	2610008E11Rik	323	308.001	274	266	314.001	361	366.999	322	390	351	380.001	323.999	387.001	270	374	414.999
